_id,regionId,regionName,date,bedReservedOxygen,bedUsedOxygen,bedUsedConfirmedOxygen,bedUsedSuspiciousOxygen,url,bedReservedReanimation,bedUsedReanimation,bedUsedConfirmedReanimation,bedUsedSuspiciousReanimation,bedReservedChildren,bedUsedChildren,bedUsedConfirmedChildren,bedUsedSuspiciousChildren,bedReservedMaternity,bedUsedMaternity,bedUsedConfirmedMaternity,bedUsedSuspiciousMaternity,bedReservedTotal,bedReservedTotalCovid,bedReservedTotalOther,bedUsedTotalCovid,bedReservedOxigen,bedReservedOxigenCovid,bedReservedOxigenOther,bedUsedOxigenCovid,bedReservedReanimationCovid,bedReservedReanimationOther,bedUsedReanimationCovid,HospitalizedPerDay,RecoveredPerDay,usedIvm,usedEkmoCovid,usedEkmoSuspicious,vaccinationAstraZeneca1,vaccinationPfizer1,vaccinationSinovac1,vaccinationNovavax1,vaccinationAge18_20_1,vaccinationAge20_39_1,vaccinationAge40_49_1,vaccinationAge50_59_1,vaccinationAge60_69_1,vaccinationAge70_79_1,vaccinationAge80__1
607de70301199d2a103fb898,135,Кіровоградська область,2021-02-25,1050,139,126,13,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=135,88,25,25,0,27,0,0,0,3,0,0,0,2636,1050,1586,159,1115,1050,65,139,54,34,25,18,22,8,0,0,56,0,0,null,1,29,6,12,8,0,0
607de70301199d2a103fb899,144,Луганська область,2021-02-25,1423,200,151,49,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=144,115,25,16,9,30,24,5,19,26,0,0,0,2906,1432,1474,241,1643,1423,220,200,89,26,25,16,11,11,0,0,60,0,0,null,0,9,27,19,5,0,0
607de70301199d2a103fb89a,146,Львівська область,2021-02-25,3666,1203,942,261,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=146,341,110,92,18,50,15,7,8,50,19,13,6,8009,3948,4061,1365,4629,3666,963,1203,256,85,110,135,98,40,0,0,50,0,0,null,0,11,33,5,1,0,0
607de70301199d2a103fb89b,148,Миколаївська область,2021-02-25,1855,612,440,172,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=148,189,60,45,15,95,66,3,63,70,11,11,0,3630,2262,1368,825,1973,1855,118,612,163,26,60,107,95,18,0,0,70,0,0,null,0,16,18,19,14,3,0
607de70301199d2a103fb89c,151,Одеська область,2021-02-25,2544,537,359,178,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=151,369,61,46,15,277,83,7,76,47,0,0,0,8559,3634,4925,826,3027,2544,483,537,296,73,61,108,90,22,0,0,60,0,0,null,1,20,19,12,8,0,0
607de70301199d2a103fb89d,153,Полтавська область,2021-02-25,2016,324,240,84,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=153,221,42,40,2,155,14,2,12,32,2,2,0,4890,2266,2624,433,2317,2016,301,324,190,31,42,54,43,19,0,0,70,0,0,null,0,21,24,15,10,0,0
607de70301199d2a103fb89e,156,Рівненська область,2021-02-25,1378,170,156,14,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=156,138,29,23,6,102,12,3,9,29,0,0,0,4028,1904,2124,355,1430,1378,52,170,110,28,29,54,29,11,0,0,20,0,0,null,0,8,3,5,2,2,0
607de70301199d2a103fb89f,159,Сумська область,2021-02-25,1606,476,371,105,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=159,107,46,40,6,140,17,2,15,0,0,0,0,5391,1939,3452,495,1953,1606,347,476,83,24,46,71,54,17,0,0,20,0,0,null,0,11,2,6,1,0,0
607de70301199d2a103fb8a0,161,Тернопільська область,2021-02-25,1781,379,354,25,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=161,266,75,72,3,132,10,6,4,6,0,0,0,6577,1963,4614,598,2145,1781,364,379,231,35,75,82,48,10,0,0,90,0,0,null,1,29,27,19,11,3,0
607de70301199d2a103fb8a1,163,Харківська область,2021-02-25,4776,885,796,89,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=163,333,116,109,7,620,53,4,49,61,11,11,0,7709,4776,2933,1251,5105,4776,329,885,243,90,116,154,95,87,0,0,20,0,0,null,2,10,3,2,3,0,0
607de70301199d2a103fb8a2,165,Херсонська область,2021-02-25,1967,135,97,38,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=165,154,18,14,4,24,1,0,1,20,0,0,0,3384,2284,1100,230,1996,1967,29,135,143,11,18,35,17,9,0,0,20,0,0,null,0,11,3,5,1,0,0
607de70301199d2a103fb8a3,168,Хмельницька область,2021-02-25,2131,611,453,158,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=2&distributionBy=age&regionId=168,174,60,56,4,130,6,3,3,40,3,1,2,5942,2379,3563,818,2461,2131,330,611,150,24,60,104,70,16,0,0,10,0,0,null,0,1,3,4,2,0,0
607de70301199d2a103fb8a4,171,Черкаська область,2021-02-25,2806,402,345,57,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=171,175,53,50,3,71,7,6,1,20,0,0,0,5528,2890,2638,494,2905,2806,99,402,151,24,53,58,39,7,0,0,90,0,0,null,3,32,17,26,10,2,0
607de70301199d2a103fb8a5,173,Чернівецька область,2021-02-25,1588,725,642,83,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=2&distributionBy=age&regionId=173,172,80,71,9,60,0,0,0,20,3,1,2,4576,1971,2605,1180,1678,1588,90,725,145,27,80,138,105,24,4,0,54,0,0,null,0,14,20,12,8,0,0
607de70301199d2a103fb8a6,174,Чернігівська область,2021-02-25,1325,348,273,75,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=174,170,41,40,1,76,48,11,37,20,0,0,0,4883,1621,3262,429,1473,1325,148,348,143,27,41,59,45,15,0,0,50,0,0,null,0,20,15,13,2,0,0
607de70301199d2a103fb8a7,180,м. Київ,2021-02-25,3896,1171,1036,135,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=180,483,203,192,11,128,38,6,32,84,15,14,1,11477,4953,6524,1707,4578,3896,682,1171,373,110,203,228,143,122,6,0,90,0,0,null,0,38,15,26,7,4,0
607de70301199d2a103fb8a8,false,Україна,2021-02-25,59070,15189,12311,2878,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=2&distributionBy=age&regionId=,5871,1858,1641,217,3275,659,165,494,1012,146,107,39,148636,68955,79681,22112,66323,59070,7253,15189,4602,1269,1858,2762,2051,733,15,1,1179,0,0,null,10,380,358,273,137,19,2
607de70301199d2a103fb8a9,105,Вінницька область,2021-02-26,2828,1105,744,361,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=105,251,120,101,19,70,66,38,28,60,11,5,6,4290,3100,1190,1728,3158,2828,330,1105,211,40,120,199,163,65,0,0,50,0,0,null,0,18,13,10,8,1,0
607de70301199d2a103fb8aa,107,Волинська область,2021-02-26,1506,337,303,34,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=107,203,44,40,4,46,8,1,7,35,0,0,0,4779,1599,3180,554,1844,1506,338,337,135,68,44,63,47,5,0,0,74,0,0,null,0,27,23,12,9,3,0
607de70301199d2a103fb8ab,112,Дніпропетровська область,2021-02-26,4103,714,545,169,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=112,321,108,81,27,235,59,2,57,30,0,0,0,9934,4813,5121,1269,4499,4103,396,714,234,87,108,157,104,28,0,0,140,0,0,null,1,46,20,34,21,18,0
607de70301199d2a103fb8ac,114,Донецька область,2021-02-26,3364,458,305,153,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=114,268,57,45,12,207,12,7,5,47,0,0,0,8777,3857,4920,645,3611,3364,247,458,208,60,57,81,85,20,0,0,110,0,0,null,0,9,12,55,34,0,0
